Title	BranchName	BlockCode	BlockName	SiteCode	SiteName	SortOrder
EAO111	営業部	EAO11W	富山ブロック	EAO111	黒部	1
EAO113	営業部	EAO11W	富山ブロック	EAO113	立山	2
EAO115	営業部	EAO11W	富山ブロック	EAO115	戸出	3
EAO114	営業部	EAO11W	富山ブロック	EAO114	高岡SS	4
EAO411	営業部	EAO11W	富山ブロック	EAO411	砺波ASC	5
EAO412	営業部	EAO11W	富山ブロック	EAO412	滑川SC	6
EAO11W	営業部	EAO11W	富山ブロック	EAO11W	富山ブロック	7
EAO122	営業部	EAO12B	石川ブロック	EAO122	白山	8
EAO126	営業部	EAO12B	石川ブロック	EAO126	河内SS(白山支店)	9
EAO124	営業部	EAO12B	石川ブロック	EAO124	津幡	10
EAO125	営業部	EAO12B	石川ブロック	EAO125	のと	11
EAO127	営業部	EAO12B	石川ブロック	EAO127	加賀	12
EAO421	営業部	EAO12B	石川ブロック	EAO421	松任ASC	13
EAO12B	営業部	EAO12B	石川ブロック	EAO12B	石川ブロック	14
EAO131	営業部	EAO13W	福井ブロック	EAO131	勝山	15
EAO132	営業部	EAO13W	福井ブロック	EAO132	大野	16
EAO133	営業部	EAO13W	福井ブロック	EAO133	鯖江	17
EAO134	営業部	EAO13W	福井ブロック	EAO134	福井	18
EAO135	営業部	EAO13W	福井ブロック	EAO135	丸岡	19
EAO431	営業部	EAO13W	福井ブロック	EAO431	福井ASC	20
EAO13W	営業部	EAO13W	福井ブロック	EAO13W	福井ブロック	21
EAO142	営業部	EAO14A	岐阜ブロック	EAO142	本巣	22
EAO145	営業部	EAO14A	岐阜ブロック	EAO145	美濃加茂	23
EAO146	営業部	EAO14A	岐阜ブロック	EAO146	養老	24
EAO148	営業部	EAO14A	岐阜ブロック	EAO148	郡上	25
EAO441	営業部	EAO14A	岐阜ブロック	EAO441	岐阜ASC	26
EAO14A	営業部	EAO14A	岐阜ブロック	EAO14A	岐阜ブロック	27
EAO161	営業部	EAO16A	愛知ブロック	EAO161	稲沢	28
EAO164	営業部	EAO16A	愛知ブロック	EAO164	江南	29
EAO163	営業部	EAO16A	愛知ブロック	EAO163	アグリショップみよし	30
EAO165	営業部	EAO16A	愛知ブロック	EAO165	安城	31
EAO461	営業部	EAO16A	愛知ブロック	EAO461	愛知ASC	32
EAO16A	営業部	EAO16A	愛知ブロック	EAO16A	愛知ブロック	33
EAO172	営業部	EAO17E	三重ブロック	EAO172	久居	34
EAO173	営業部	EAO17E	三重ブロック	EAO173	中勢	35
EAO179	営業部	EAO17E	三重ブロック	EAO179	伊賀	36
EAO176	営業部	EAO17E	三重ブロック	EAO176	伊勢	37
EAO177	営業部	EAO17E	三重ブロック	EAO177	松阪	38
EAO178	営業部	EAO17E	三重ブロック	EAO178	熊野	39
EAO471	営業部	EAO17E	三重ブロック	EAO471	三重ASC	40
EAO17E	営業部	EAO17E	三重ブロック	EAO17E	三重ブロック	41
EAO196	営業部	EAO1C6	南近畿ブロック	EAO196	京都南	42
EAO1A1	営業部	EAO1C6	南近畿ブロック	EAO1A1	高槻	43
EAO1C2	営業部	EAO1C6	南近畿ブロック	EAO1C2	奈良	44
EAO1C3	営業部	EAO1C6	南近畿ブロック	EAO1C3	郡山	45
EAO1C4	営業部	EAO1C6	南近畿ブロック	EAO1C4	天理	46
EAO1C8	営業部	EAO1C6	南近畿ブロック	EAO1C8	橿原	47
EAO1D1	営業部	EAO1C6	南近畿ブロック	EAO1D1	和歌山	48
EAO4C1	営業部	EAO1C6	南近畿ブロック	EAO4C1	郡山ASC	49
EAO1C6	営業部	EAO1C6	南近畿ブロック	EAO1C6	南近畿ブロック	50
EAO185	営業部	EAO18U	滋賀ブロック	EAO185	湖北	51
EAO187	営業部	EAO18U	滋賀ブロック	EAO187	長浜	52
EAO18B	営業部	EAO18U	滋賀ブロック	EAO18B	湖東	53
EAO18G	営業部	EAO18U	滋賀ブロック	EAO18G	湖南	54
EAO18H	営業部	EAO18U	滋賀ブロック	EAO18H	湖西	55
EAO481	営業部	EAO18U	滋賀ブロック	EAO481	長浜ASC	56
EAO482	営業部	EAO18U	滋賀ブロック	EAO482	湖南ASC	57
EAO483	営業部	EAO18U	滋賀ブロック	EAO483	甲賀SC	58
EAO18U	営業部	EAO18U	滋賀ブロック	EAO18U	滋賀ブロック	59
EAO192	営業部	EAO199	京都ブロック	EAO192	京丹後	60
EAO193	営業部	EAO199	京都ブロック	EAO193	福知山	61
EAO194	営業部	EAO199	京都ブロック	EAO194	南丹	62
EAO199	営業部	EAO199	京都ブロック	EAO199	京都ブロック	63
EAO1B4	営業部	EAO1BI	兵庫ブロック	EAO1B4	篠山	64
EAO1B5	営業部	EAO1BI	兵庫ブロック	EAO1B5	三田	65
EAO1BA	営業部	EAO1BI	兵庫ブロック	EAO1BA	三木	66
